종목코드,종목명,시장,현재가,RSI,MACD히스토,볼린저위치,거래량배율,종합점수,신호
33637K,솔루스첨단소재1우,KOSPI,1990,43.7,-8.83,0.227,0.74,0,0
33637L,솔루스첨단소재2우B,KOSPI,3615,44.9,2.6,0.333,0.5,0,0
336570,원텍,KOSDAQ,7750,53.7,23.35,0.786,2.46,1,0
336680,탑런토탈솔루션,KOSDAQ,4045,41.0,-21.6,0.098,0.56,0,0
337930,젝시믹스,KOSDAQ,5170,54.2,-33.36,0.562,0.88,0,0
338100,NH프라임리츠,KOSPI,4455,35.5,9.37,0.329,0.47,0,0
338220,뷰노,KOSDAQ,22350,42.7,-212.08,0.228,0.46,0,0
338840,와이바이오로직스,KOSDAQ,22900,43.4,-452.46,0.034,0.55,1,0
339770,교촌에프앤비,KOSPI,4340,42.4,-12.22,-0.1,0.61,1,0
339950,아이비김영,KOSDAQ,1946,47.7,-3.52,0.221,0.27,0,0
340360,다보링크,KOSDAQ,1415,52.2,0.73,0.485,0.44,0,0
340440,세림B&G,KOSDAQ,1459,44.2,-11.96,0.033,0.06,1,0
340450,지씨지놈,KOSDAQ,6820,46.5,-68.24,0.308,0.47,0,0
340570,티앤엘,KOSDAQ,49050,56.9,253.09,0.673,0.73,0,0
340810,시선AI,KOSDAQ,2815,42.4,10.91,0.208,1.99,0,0
340930,유일에너테크,KOSDAQ,1367,44.2,-10.71,0.325,0.19,0,0
344820,KCC글라스,KOSPI,26500,42.6,-78.21,0.159,0.79,0,0
344860,이노진,KOSDAQ,1864,51.3,-1.84,0.522,0.28,-1,0
347000,센코,KOSDAQ,2210,55.1,8.1,0.727,0.23,0,0
347700,스피어,KOSDAQ,14690,72.7,309.76,0.862,0.83,-1,0
347740,피엔케이피부임상연구센타,KOSDAQ,2560,53.7,7.67,0.817,1.2,0,0
347770,핌스,KOSDAQ,1128,33.7,19.6,0.426,0.06,0,0
347850,디앤디파마텍,KOSDAQ,91800,53.0,-563.96,0.523,0.7,0,0
347860,알체라,KOSDAQ,2390,47.8,4.42,0.395,0.94,0,0
347890,엠엑스온,KOSDAQ,6420,51.1,-16.39,0.411,0.48,0,0
348030,모비릭스,KOSDAQ,3200,38.6,17.16,0.302,0.27,0,0
348080,큐라티스,KOSDAQ,1300,58.6,-14.1,0.602,0.33,0,0
348150,고바이오랩,KOSDAQ,5730,50.0,-52.89,0.393,0.39,0,0
348210,넥스틴,KOSDAQ,71900,60.5,112.74,0.683,0.68,0,0
348340,뉴로메카,KOSDAQ,32900,55.0,-71.5,0.62,1.75,0,0
348350,위드텍,KOSDAQ,8520,50.5,-5.13,0.465,1.42,0,0
348370,엔켐,KOSDAQ,62900,41.5,203.43,0.171,0.83,0,0
348950,제이알글로벌리츠,KOSPI,2800,33.0,-16.43,0.099,0.5,0,0
350520,이지스레지던스리츠,KOSPI,3800,26.6,-17.93,-0.084,1.05,2,1
351320,넥사다이내믹스,KOSDAQ,1269,42.8,6.41,0.319,1.74,0,0
351330,이삭엔지니어링,KOSDAQ,8420,48.5,-35.38,0.239,0.44,0,0
351870,차이커뮤니케이션,KOSDAQ,5020,54.0,31.53,0.873,4.14,0,0
352090,스톰테크,KOSDAQ,3640,40.6,-19.75,-0.08,1.26,1,0
352480,씨앤씨인터내셔널,KOSDAQ,29650,34.9,62.07,-0.032,1.48,1,0
352700,씨앤투스,KOSDAQ,2350,32.6,-20.6,-0.112,0.77,1,0
352770,셀레스트라,KOSDAQ,5250,36.1,0.0,,,0,0
352820,하이브,KOSPI,330000,65.0,2793.77,1.012,1.35,-1,0
352910,오비고,KOSDAQ,6150,85.7,210.39,1.111,1.89,-2,-1
352940,인바이오,KOSDAQ,2275,53.2,-5.92,0.27,1.09,0,0
353190,휴럼,KOSDAQ,684,45.2,3.6,0.434,1.14,0,0
353200,대덕전자,KOSPI,47100,50.9,-319.52,0.426,0.64,0,0
35320K,대덕전자1우,KOSPI,14640,49.7,-133.06,0.291,0.64,0,0
353590,오토앤,KOSDAQ,3635,62.2,19.76,0.924,0.41,0,0
353810,이지바이오,KOSDAQ,5810,38.5,-72.17,-0.015,0.67,1,0
354200,엔젠바이오,KOSDAQ,1460,27.6,-22.69,0.069,0.9,1,0
354320,알멕,KOSDAQ,20150,50.3,53.45,0.535,0.93,0,0
355150,코스텍시스,KOSDAQ,13500,60.9,181.31,0.86,2.22,0,0
355390,크라우드웍스,KOSDAQ,3375,31.3,-113.55,0.142,0.31,0,0
355690,에이텀,KOSDAQ,3601,31.7,24.84,0.237,0.84,0,0
356680,엑스게이트,KOSDAQ,7640,42.2,0.58,0.153,0.56,0,0
356860,티엘비,KOSDAQ,59800,45.1,-219.35,0.321,0.49,0,0
356890,싸이버원,KOSDAQ,3945,45.7,-14.59,0.202,0.68,-1,0
357120,코람코라이프인프라리츠,KOSPI,4410,49.1,3.03,0.484,0.29,0,0
357230,에이치피오,KOSDAQ,2420,50.0,4.24,0.558,4.5,0,0
357250,미래에셋맵스리츠,KOSPI,2625,39.2,-0.37,0.298,0.3,0,0
357430,마스턴프리미어리츠,KOSPI,1647,82.2,1.3,0.877,0.62,-1,0
357550,석경에이티,KOSDAQ,70200,60.8,35.66,0.688,0.33,0,0
357580,아모센스,KOSDAQ,6660,39.8,-13.07,0.216,0.39,0,0
357780,솔브레인,KOSDAQ,262000,49.7,-42.83,0.426,1.04,0,0
357880,SKAI,KOSDAQ,1597,41.3,-10.6,0.33,0.19,0,0
358570,지아이이노베이션,KOSDAQ,17640,47.8,-151.23,0.332,0.74,0,0
359090,씨엔알리서치,KOSDAQ,900,38.5,-11.53,0.056,0.16,0,0
360070,탑머티리얼,KOSDAQ,20950,34.0,-140.7,0.149,1.56,0,0
360350,코셈,KOSDAQ,6850,37.8,-35.04,0.045,0.57,1,0
361390,제노코,KOSDAQ,17880,64.5,344.4,0.922,0.71,0,0
361570,알비더블유,KOSDAQ,1750,30.9,-61.9,0.122,0.26,0,0
361610,SK아이이테크놀로지,KOSPI,25050,29.6,-331.23,-0.034,1.05,2,1
361670,삼영에스앤씨,KOSDAQ,3595,55.9,16.01,0.897,1.03,0,0
362320,청담글로벌,KOSDAQ,6060,37.0,13.58,0.252,0.46,0,0
362990,드림인사이트,KOSDAQ,1843,56.4,10.48,0.719,0.22,0,0
363250,진시스템,KOSDAQ,4100,31.0,48.71,0.377,0.13,0,0
363260,모비데이즈,KOSDAQ,1585,43.6,-0.97,0.179,0.73,0,0
363280,티와이홀딩스,KOSPI,2740,49.9,-12.16,0.287,0.89,0,0
36328K,티와이홀딩스우,KOSPI,4400,38.2,-44.33,0.05,5.12,0,0
364950,에이아이코리아,KOSDAQ,8140,42.1,13.96,0.183,0.24,0,0
365270,큐라클,KOSDAQ,7130,66.3,48.02,0.79,0.37,0,0
365330,에스와이스틸텍,KOSDAQ,3410,50.6,3.74,0.54,0.98,0,0
365340,성일하이텍,KOSDAQ,40900,44.4,-219.46,0.194,0.91,0,0
365550,ESR켄달스퀘어리츠,KOSPI,4265,48.4,2.64,0.477,0.27,1,0
365590,하이딥,KOSDAQ,2835,66.7,6.99,0.714,0.0,0,0
365900,브이씨,KOSDAQ,2685,42.2,-1.77,0.065,0.35,-1,0
366030,공구우먼,KOSDAQ,5250,37.7,-126.74,0.104,0.57,0,0
367000,플래티어,KOSDAQ,4190,39.6,-17.73,0.158,1.06,0,0
368600,아이씨에이치,KOSDAQ,1185,42.6,10.75,0.264,0.35,0,0
368770,파이버프로,KOSDAQ,10800,69.5,144.6,0.842,1.29,0,0
368970,오에스피,KOSDAQ,1963,38.4,-6.28,0.012,0.42,1,0
369370,블리츠웨이엔터테인먼트,KOSDAQ,1366,42.6,-7.01,0.093,0.3,0,0
370090,퓨런티어,KOSDAQ,16910,64.2,373.76,0.832,0.41,0,0
371950,풍원정밀,KOSDAQ,9110,42.0,-55.22,0.264,0.6,0,0
372170,윤성에프앤씨,KOSDAQ,29600,32.4,-332.04,0.098,0.77,0,0
372320,큐로셀,KOSDAQ,44950,55.6,-291.57,0.556,1.06,0,0
372800,아이티아이즈,KOSDAQ,4800,46.5,-5.98,0.404,1.01,0,0
372910,한컴라이프케어,KOSPI,3015,51.6,-27.25,0.264,0.07,0,0
373110,엑셀세라퓨틱스,KOSDAQ,1661,39.3,11.73,0.429,0.34,0,0
373160,데이원컴퍼니,KOSDAQ,5120,42.4,-0.52,0.289,0.27,-1,0
373170,엠아이큐브솔루션,KOSDAQ,2335,52.1,18.05,0.657,0.58,0,0
373200,엑스플러스,KOSDAQ,520,61.7,3.62,0.866,9.68,1,0
373220,LG에너지솔루션,KOSPI,368500,32.0,-4427.43,0.109,0.99,0,0
375500,DL이앤씨,KOSPI,41150,48.1,-157.27,0.382,0.37,0,0
37550K,DL이앤씨우,KOSPI,21700,41.1,-210.58,0.039,0.6,1,0
37550L,DL이앤씨2우(전환),KOSPI,30500,48.0,-185.12,0.348,1.14,0,0
376180,피코그램,KOSDAQ,2310,31.3,-5.71,0.009,0.95,1,0
376270,HEM파마,KOSDAQ,45850,53.0,-1014.41,0.32,0.76,0,0
376290,씨유테크,KOSDAQ,3050,52.5,-0.09,0.589,0.4,-1,0
376300,디어유,KOSDAQ,40100,70.1,723.18,0.887,1.1,-1,0
376900,로킷헬스케어,KOSDAQ,65500,49.6,-2147.4,0.277,0.53,0,0
376930,노을,KOSDAQ,1965,36.3,-19.92,0.131,2.05,0,0
376980,원티드랩,KOSDAQ,3500,33.5,-13.18,0.095,0.29,0,0
377030,비트맥스,KOSDAQ,1588,24.2,-4.39,0.009,1.51,1,0
377190,디앤디플랫폼리츠,KOSPI,3380,40.2,-22.31,0.272,0.67,0,0
377220,프롬바이오,KOSDAQ,1235,42.4,-1.9,0.239,0.06,0,0
377300,카카오페이,KOSPI,49100,52.3,496.02,0.71,0.42,0,0
377330,이지트로닉스,KOSDAQ,3975,49.7,-9.89,0.397,0.36,0,0
377450,리파인,KOSDAQ,12330,38.1,-108.65,0.1,0.42,0,0
377460,위니아에이드,KOSDAQ,4080,47.2,0.0,,,0,0
377480,마음AI,KOSDAQ,18600,41.7,59.02,0.369,0.65,0,0
377740,바이오노트,KOSPI,5470,39.8,-12.4,-0.215,0.82,1,0
378340,필에너지,KOSDAQ,12250,34.1,-104.68,0.122,1.04,0,0
378800,샤페론,KOSDAQ,1740,38.6,-12.31,0.089,0.44,0,0
378850,화승알앤에이,KOSPI,3270,49.7,-11.33,0.248,0.38,0,0
380540,옵티코어,KOSDAQ,2050,59.4,-6.34,0.698,2.16,0,0
381620,제닉스로보틱스,KOSDAQ,12580,40.4,-155.75,0.227,0.27,0,0
381970,케이카,KOSPI,16030,40.6,-112.18,-0.092,0.73,1,0
382150,온코크로스,KOSDAQ,9580,35.6,-272.12,0.186,0.24,0,0
382480,지아이텍,KOSDAQ,1906,28.5,-14.93,0.08,0.49,1,0
382800,지앤비에스 에코,KOSDAQ,2830,55.3,19.76,0.648,1.54,0,0
382840,원준,KOSDAQ,7680,33.3,-20.32,0.088,1.84,0,0
382900,범한퓨얼셀,KOSDAQ,26200,37.6,-193.18,0.102,0.5,0,0
383220,F&F,KOSPI,68500,36.8,-1012.94,0.011,0.65,1,0
383310,에코프로에이치엔,KOSDAQ,24050,35.4,-315.61,0.001,1.05,1,0
383800,LX홀딩스,KOSPI,8020,45.2,-16.55,0.177,0.65,0,0
38380K,LX홀딩스1우,KOSPI,8900,53.2,19.44,0.645,0.61,0,0
383930,디티앤씨알오,KOSDAQ,2590,32.7,-101.55,0.14,0.66,0,0
384470,코어라인소프트,KOSDAQ,4080,55.8,21.01,0.818,0.4,0,0
387570,파인메딕스,KOSDAQ,7500,38.8,-56.49,0.042,2.24,1,0
388050,지투파워,KOSDAQ,7980,48.5,-2.81,0.401,9.9,0,0
388610,지에프씨생명과학,KOSDAQ,14200,44.1,48.63,0.275,1.17,0,0
388720,유일로보틱스,KOSDAQ,83200,47.0,-1073.64,0.266,0.39,0,0
388790,라이콤,KOSDAQ,2630,55.1,1.84,0.658,0.16,0,0
388870,파로스아이바이오,KOSDAQ,9390,51.8,-217.95,0.25,0.26,0,0
389020,자람테크놀로지,KOSDAQ,37500,52.9,145.76,0.569,0.39,0,0
389030,지니너스,KOSDAQ,3500,69.9,29.52,0.881,0.77,0,0
389140,포바이포,KOSDAQ,7470,35.6,24.16,0.095,0.57,0,0
389260,대명에너지,KOSDAQ,19000,43.1,72.1,0.341,0.49,0,0
389470,인벤티지랩,KOSDAQ,84200,57.0,-1754.36,0.5,0.4,0,0
389500,에스비비테크,KOSDAQ,36150,49.7,-750.4,0.199,0.49,0,0
389650,넥스트바이오메디컬,KOSDAQ,89400,61.4,-569.34,0.596,0.62,0,0
389680,유디엠텍,KOSDAQ,508,45.1,-1.14,0.451,0.15,0,0
391710,코닉오토메이션,KOSDAQ,2290,46.4,4.68,0.248,1.15,0,0
393210,토마토시스템,KOSDAQ,5140,40.8,-10.44,0.23,3.42,0,0
393890,더블유씨피,KOSDAQ,6240,31.1,-96.78,0.084,0.69,0,0
393970,대진첨단소재,KOSDAQ,4305,41.4,-35.03,0.228,0.14,0,0
394280,오픈엣지테크놀로지,KOSDAQ,14350,67.3,311.83,0.984,1.96,0,0
394800,쓰리빌리언,KOSDAQ,18230,65.0,-176.75,0.672,0.46,0,0
395400,SK리츠,KOSPI,5790,61.8,-7.02,0.729,0.72,0,0
396270,넥스트칩,KOSDAQ,4065,58.5,-18.08,0.639,0.59,0,0
396300,세아메카닉스,KOSDAQ,2380,33.5,-6.13,0.137,0.8,0,0
396470,워트,KOSDAQ,7340,61.3,59.29,1.165,17.41,-1,0
396690,미래에셋글로벌리츠,KOSPI,2580,39.2,-6.44,0.244,0.81,0,0
