종목코드,종목명,시장,현재가,RSI,MACD히스토,볼린저위치,거래량배율,종합점수,신호
445680,큐리옥스바이오시스템즈,KOSDAQ,117000,74.7,985.45,1.198,0.97,-2,-1
446070,유니드비티플러스,KOSPI,3445,44.6,3.6,0.416,2.09,0,0
446540,메가터치,KOSDAQ,3530,44.2,-3.52,0.29,1.75,0,0
446840,지슨,KOSDAQ,1825,54.0,0.65,0.538,0.35,0,0
448280,에코아이,KOSDAQ,11550,50.5,-34.67,0.439,1.12,0,0
448710,코츠테크놀로지,KOSDAQ,16720,52.4,137.2,0.797,0.66,0,0
448730,삼성FN리츠,KOSPI,4710,60.4,6.27,0.679,0.27,0,0
448900,한국피아이엠,KOSDAQ,43800,40.1,-2476.82,0.078,0.72,0,0
450080,에코프로머티,KOSPI,52100,34.5,-769.24,-0.001,1.09,0,0
450330,하스,KOSDAQ,6270,38.3,-48.08,0.128,0.4,0,0
450520,인스웨이브,KOSDAQ,3325,35.1,-1.66,0.066,0.26,-1,0
450950,아스테라시스,KOSDAQ,12370,43.2,-0.77,0.342,0.72,0,0
451220,아이엠티,KOSDAQ,9620,57.8,76.04,1.054,2.26,-1,0
451250,삐아,KOSDAQ,9200,39.4,-6.3,0.139,0.54,0,0
451700,엔에이치스팩29호,KOSDAQ,2600,56.0,-0.21,,,0,0
451760,컨텍,KOSDAQ,11220,70.5,286.52,0.857,0.4,-1,0
451800,한화리츠,KOSPI,4145,56.8,-1.99,0.58,0.33,0,0
452160,제이엔비,KOSDAQ,7070,69.4,99.71,1.202,13.55,0,0
452190,한빛레이저,KOSDAQ,4740,43.9,-15.18,0.143,0.51,0,0
452200,민테크,KOSDAQ,2370,40.9,7.55,0.357,0.36,0,0
452260,한화갤러리아,KOSPI,1368,59.5,10.69,0.645,0.25,0,0
45226K,한화갤러리아우,KOSPI,7770,73.0,611.08,0.863,3.39,-1,0
452280,한선엔지니어링,KOSDAQ,8540,41.6,-5.52,0.029,0.56,0,0
452300,캡스톤파트너스,KOSDAQ,2765,49.2,-5.6,0.413,0.48,-1,0
452400,이닉스,KOSDAQ,11450,56.1,193.71,0.741,0.54,0,0
452430,사피엔반도체,KOSDAQ,38100,69.7,266.94,1.154,1.01,-1,0
452450,피아이이,KOSDAQ,6890,41.0,21.88,0.337,0.68,0,0
452980,신한제11호스팩,KOSDAQ,2085,63.2,0.1,0.865,0.13,1,0
453340,현대그린푸드,KOSPI,15610,40.9,-51.78,0.222,0.7,0,0
453450,그리드위즈,KOSDAQ,13640,28.7,-51.73,-0.015,1.19,2,1
453860,에이에스텍,KOSDAQ,16110,49.8,4.58,0.515,0.3,0,0
454910,두산로보틱스,KOSPI,78000,48.1,-610.24,0.26,0.38,0,0
455180,케이지에이,KOSDAQ,3180,28.3,-60.57,0.12,0.57,1,0
455900,엔젤로보틱스,KOSDAQ,30650,49.9,-115.76,0.304,1.23,0,0
456010,아이씨티케이,KOSDAQ,16530,58.2,198.71,0.904,0.7,0,0
456040,OCI,KOSPI,59600,46.2,-184.4,0.168,0.52,0,0
456070,이엔셀,KOSDAQ,18180,59.2,61.19,0.726,0.34,0,0
457190,이수스페셜티케미컬,KOSPI,59200,55.2,-285.2,0.548,0.52,0,0
457370,한켐,KOSDAQ,7570,46.3,38.42,0.487,0.65,0,0
457550,우진엔텍,KOSDAQ,20200,40.8,-82.74,0.081,0.76,0,0
457600,벡트,KOSDAQ,2505,45.9,-32.49,0.358,0.09,0,0
458650,성우,KOSDAQ,9610,30.1,-46.11,-0.009,1.32,1,0
458870,씨어스,KOSDAQ,43390,64.3,54.27,1.034,0.51,0,0
459100,위츠,KOSDAQ,6820,38.7,-40.11,-0.033,0.24,0,0
459510,나우로보틱스,KOSDAQ,21250,45.0,-217.81,0.186,0.24,0,0
460470,아이빔테크놀로지,KOSDAQ,3290,63.2,22.92,1.29,3.39,-1,0
460850,동국씨엠,KOSPI,5320,40.5,-17.19,-0.048,1.94,1,0
460860,동국제강,KOSPI,8240,38.4,-24.63,-0.033,1.28,1,0
460870,에스엠씨지,KOSDAQ,3775,35.5,4.88,0.142,0.43,0,0
460930,현대힘스,KOSDAQ,17690,38.7,11.53,0.043,0.61,1,0
460940,피앤에스로보틱스,KOSDAQ,12340,53.4,-134.98,0.517,0.91,0,0
461030,아이엠비디엑스,KOSDAQ,9890,42.8,-88.25,0.206,0.28,0,0
461300,아이스크림미디어,KOSDAQ,17400,47.8,43.67,0.503,1.01,0,0
462020,에이치엠씨제6호스팩,KOSDAQ,2080,54.2,0.14,0.594,0.02,1,0
462350,이노스페이스,KOSDAQ,11314,53.3,-12.32,0.671,1.34,1,0
462510,라메디텍,KOSDAQ,6590,42.2,-23.97,0.19,0.17,0,0
462520,조선내화,KOSPI,14100,41.5,-15.7,-0.067,1.22,0,0
462860,더즌,KOSDAQ,3780,45.4,-14.09,0.219,0.47,0,0
462870,시프트업,KOSPI,35500,37.6,-201.59,0.127,0.49,0,0
462980,아이지넷,KOSDAQ,2080,72.0,22.13,1.207,1.76,-2,-1
463020,뉴엔AI,KOSDAQ,16960,41.9,83.83,0.301,0.25,0,0
463480,모티브링크,KOSDAQ,7720,32.9,-29.68,0.139,0.29,0,0
464080,에스오에스랩,KOSDAQ,14200,70.9,340.97,1.057,1.07,-2,-1
464280,티디에스팜,KOSDAQ,9850,53.0,-27.84,0.479,0.37,0,0
464440,한국제13호스팩,KOSDAQ,2105,43.0,-1.24,0.24,0.8,0,0
464500,아이언디바이스,KOSDAQ,3260,63.3,23.84,1.067,14.7,0,0
464580,닷밀,KOSDAQ,2480,52.6,1.6,0.585,0.63,0,0
464680,KB제27호스팩,KOSDAQ,2065,51.8,-0.3,0.489,0.4,0,0
465320,교보15호스팩,KOSDAQ,2335,66.1,-0.16,,,0,0
465480,인스피언,KOSDAQ,5290,37.5,-19.02,0.003,0.66,1,0
465770,STX그린로지스,KOSPI,5660,21.4,-48.89,0.04,0.97,2,1
466100,클로봇,KOSDAQ,63000,64.2,-120.0,0.64,0.27,-1,0
466410,사이냅소프트,KOSDAQ,12540,49.2,-29.95,0.434,0.13,1,0
466910,엔에이치스팩30호,KOSDAQ,3100,79.6,-0.53,,,-1,0
467930,IBKS제23호스팩,KOSDAQ,2245,63.7,2.38,1.127,2.21,-1,0
468760,유진스팩10호,KOSDAQ,2115,50.7,-0.55,0.483,2.4,0,0
469480,IBKS제24호스팩,KOSDAQ,2235,57.8,0.01,0.862,1.07,1,0
469750,아이비젼웍스,KOSDAQ,1274,43.5,-21.93,0.185,0.05,0,0
469880,하나30호스팩,KOSDAQ,2070,55.1,0.27,0.786,0.65,0,0
469900,하나31호스팩,KOSDAQ,2060,44.9,-0.92,0.356,0.96,0,0
471050,대신밸런스제17호스팩,KOSDAQ,2165,41.9,-5.73,0.135,0.73,0,0
471820,셀로맥스사이언스,KOSDAQ,6500,63.6,30.06,0.743,4.44,0,0
472220,신영스팩10호,KOSDAQ,2185,51.7,-0.04,0.526,1.86,0,0
472230,에스케이증권제11호스팩,KOSDAQ,2045,52.7,-0.17,0.5,0.0,0,0
472850,폰드그룹,KOSDAQ,10060,89.9,249.83,1.479,0.31,-1,0
473000,에스케이증권제12호스팩,KOSDAQ,2045,49.5,-1.23,0.406,1.83,0,0
473050,유안타제15호스팩,KOSDAQ,2045,56.7,0.34,0.677,0.57,0,0
473950,에스케이증권제13호스팩,KOSDAQ,2030,47.9,-0.88,0.375,0.24,0,0
473980,노머스,KOSDAQ,28000,70.3,764.83,1.027,2.79,-2,-1
474170,루미르,KOSDAQ,9050,59.6,124.09,0.85,0.31,0,0
474490,유안타제16호스팩,KOSDAQ,2030,52.2,-0.57,0.412,0.02,0,0
474610,RF시스템즈,KOSDAQ,4765,59.5,63.63,0.723,0.52,0,0
474650,링크솔루션,KOSDAQ,60000,63.9,29.56,0.698,0.33,0,0
474660,신한제12호스팩,KOSDAQ,2070,52.5,-0.14,,,0,0
474930,신한제13호스팩,KOSDAQ,2145,44.9,-1.37,0.283,0.0,0,0
475150,SK이터닉스,KOSPI,20700,48.6,-54.76,0.411,0.49,-1,0
475240,하나32호스팩,KOSDAQ,2120,55.7,1.18,0.792,0.06,0,0
475250,하나33호스팩,KOSDAQ,2100,56.8,0.62,0.788,0.71,0,0
475400,씨메스로보틱스,KOSDAQ,33100,47.6,-341.41,0.201,0.58,0,0
475430,키스트론,KOSDAQ,4835,52.7,19.8,0.566,0.51,0,0
475460,미트박스,KOSDAQ,8580,46.7,6.15,0.259,0.99,0,0
475560,더본코리아,KOSPI,24200,38.6,-125.65,0.126,0.67,0,0
475580,에이럭스,KOSDAQ,11150,68.3,193.87,1.139,1.93,-1,0
475660,에스켐,KOSDAQ,5550,36.5,-33.4,0.196,0.41,0,0
475830,오름테라퓨틱,KOSDAQ,120000,77.1,1664.04,1.05,0.63,-2,-1
475960,토모큐브,KOSDAQ,51000,52.6,-724.48,0.364,0.3,0,0
476040,오가노이드사이언스,KOSDAQ,38300,47.2,-679.98,0.2,0.3,0,0
476060,온코닉테라퓨틱스,KOSDAQ,19550,53.8,158.04,0.603,0.81,0,0
476080,M83,KOSDAQ,9320,40.3,-18.12,0.281,0.78,0,0
477340,에이치엠씨제7호스팩,KOSDAQ,2015,52.6,-0.3,0.589,0.55,0,0
477380,미래에셋비전스팩4호,KOSDAQ,2065,53.3,0.52,0.565,0.04,0,0
477470,미래에셋비전스팩5호,KOSDAQ,2130,56.7,0.95,0.69,0.05,0,0
477760,DB금융스팩12호,KOSDAQ,2125,60.1,2.12,0.885,0.15,0,0
478110,이베스트스팩6호,KOSDAQ,2010,46.2,-0.51,0.258,0.12,0,0
478390,KB제29호스팩,KOSDAQ,2080,55.8,1.15,0.818,1.5,0,0
478440,미래에셋비전스팩6호,KOSDAQ,2045,55.8,0.21,0.7,0.78,1,0
478560,블랙야크아이앤씨,KOSDAQ,3565,37.9,-13.62,-0.072,1.13,1,0
479880,한국제15호스팩,KOSDAQ,2045,47.4,-0.15,0.38,0.36,0,0
479960,위너스일렉,KOSDAQ,10450,40.6,-10.93,-0.063,0.54,0,0
480370,씨케이솔루션,KOSPI,2841,45.1,-10.7,0.301,0.15,0,0
481070,에이유브랜즈,KOSDAQ,22300,65.2,27.22,0.847,0.75,0,0
481850,신한글로벌액티브리츠,KOSPI,1286,38.3,1.28,0.25,0.77,0,0
481890,엔에이치스팩31호,KOSDAQ,2120,52.4,0.02,0.57,0.79,1,0
482520,교보16호스팩,KOSDAQ,2065,61.0,-0.75,,,0,0
482630,삼양엔씨켐,KOSDAQ,11450,61.9,69.4,0.836,1.87,0,0
482680,미래에셋비전스팩7호,KOSDAQ,2015,52.2,-0.24,0.464,0.5,0,0
482690,대신밸런스제19호스팩,KOSDAQ,2160,50.6,-2.41,0.434,3.03,0,0
483650,달바글로벌,KOSPI,147500,52.7,-656.54,0.55,0.46,0,0
484130,하나34호스팩,KOSDAQ,2045,45.0,-3.3,0.302,0.06,0,0
484810,티엑스알로보틱스,KOSDAQ,15820,53.3,31.57,0.612,0.4,0,0
484870,엠앤씨솔루션,KOSPI,142800,52.1,2192.06,0.843,0.78,0,0
486630,KB제30호스팩,KOSDAQ,2045,52.1,-0.46,0.498,0.53,0,0
487360,신한제14호스팩,KOSDAQ,2050,52.2,-0.66,0.456,0.22,0,0
487570,HS효성,KOSPI,57900,32.9,-696.26,-0.07,1.11,1,0
487720,키움제10호스팩,KOSDAQ,2090,49.8,-0.25,0.446,1.29,0,0
487830,신한제15호스팩,KOSDAQ,2075,64.2,1.78,0.996,0.15,-1,0
488060,유진스팩11호,KOSDAQ,2040,50.3,-0.55,0.442,0.01,0,0
489210,교보17호스팩,KOSDAQ,2115,60.3,1.32,0.94,0.02,0,0
489460,바이오비쥬,KOSDAQ,13480,51.8,54.78,0.672,0.45,0,0
489480,키움제11호스팩,KOSDAQ,2050,50.5,-1.31,0.432,1.61,0,0
489500,엘케이켐,KOSDAQ,36300,79.1,1221.14,1.236,8.74,-2,-1
489730,디비금융제13호스팩,KOSDAQ,2030,50.3,0.26,0.473,0.03,1,0
489790,한화비전,KOSPI,44900,59.0,1037.21,0.914,1.64,0,0
492220,KB제31호스팩,KOSDAQ,2015,56.8,1.04,0.68,0.12,0,0
493790,유안타제17호스팩,KOSDAQ,2000,50.4,-0.03,0.444,0.78,0,0
496070,신한제16호스팩,KOSDAQ,2015,46.7,-3.08,0.266,0.11,0,0
498390,한화플러스제5호스팩,KOSDAQ,2010,56.9,0.66,0.678,0.72,0,0
499790,GS피앤엘,KOSPI,42000,38.6,-710.18,0.16,1.11,0,0
900070,글로벌에스엠,KOSDAQ,422,43.2,0.06,0.241,0.82,0,0
900100,애머릿지,KOSDAQ,574,47.2,-2.22,0.437,0.1,0,0
900110,이스트아시아홀딩스,KOSDAQ,1112,36.4,4.5,0.236,0.71,0,0
900120,씨엑스아이,KOSDAQ,528,43.8,-0.2,0.296,0.76,0,0
900140,엘브이엠씨홀딩스,KOSPI,1600,52.7,0.99,0.603,1.09,1,0
900250,크리스탈신소재,KOSDAQ,705,40.6,1.81,0.241,0.65,0,0
900260,로스웰,KOSDAQ,1572,88.0,18.26,0.714,0.57,-1,0
900270,헝셩그룹,KOSDAQ,1981,44.8,5.94,0.405,0.49,0,0
900290,GRT,KOSDAQ,3110,52.5,-18.4,0.371,0.67,0,0
900300,오가닉티코스메틱,KOSDAQ,237,15.4,-6.39,0.042,2.32,2,1
900310,컬러레이,KOSDAQ,572,39.1,0.68,0.249,0.89,0,0
900340,윙입푸드,KOSDAQ,800,36.3,0.33,0.189,0.35,1,0
950130,엑세스바이오,KOSDAQ,3800,54.7,58.86,0.702,0.53,0,0
950140,잉글우드랩,KOSDAQ,11260,35.6,-61.9,0.121,0.41,0,0
950160,코오롱티슈진,KOSDAQ,79600,61.8,-1033.23,0.589,0.62,0,0
950170,JTC,KOSDAQ,3820,37.1,52.62,0.261,0.43,0,0
950190,고스트스튜디오,KOSDAQ,8690,45.9,-30.07,0.22,0.61,0,0
950200,소마젠,KOSDAQ,3880,53.7,4.44,0.577,0.55,0,0
950210,프레스티지바이오파마,KOSPI,12850,49.2,-56.33,0.329,0.34,0,0
950220,네오이뮨텍,KOSDAQ,821,63.6,13.58,0.833,0.32,0,0
